Sigla Mercato;Anno;Mese;Settimana;DataCompleta;Data Prezzo;Prezzo
FI;2011;1;1;01/01/2011;11 gennaio 2011;230,5
RM;2011;1;1;01/01/2011;11 gennaio 2011;263
GR;2011;1;1;01/01/2011;11 gennaio 2011;267,66
BO;2011;1;1;01/01/2011;11 gennaio 2011;276
VR;2011;1;1;01/01/2011;11 gennaio 2011;280,5
PD;2011;1;1;01/01/2011;11 gennaio 2011;280,5
TV;2011;1;1;01/01/2011;11 gennaio 2011;284
MI;2011;1;1;01/01/2011;11 gennaio 2011;288,5
TO;2011;1;1;01/01/2011;11 gennaio 2011;
AL;2011;1;1;01/01/2011;11 gennaio 2011;
UD;2011;1;1;01/01/2011;11 gennaio 2011;
PG;2011;1;1;01/01/2011;11 gennaio 2011;
NA;2011;1;1;01/01/2011;11 gennaio 2011;
FI;2011;1;2;02/01/2011;18 gennaio 2011;237,5
PG;2011;1;2;02/01/2011;18 gennaio 2011;255,6
AL;2011;1;2;02/01/2011;18 gennaio 2011;266
RM;2011;1;2;02/01/2011;18 gennaio 2011;273
UD;2011;1;2;02/01/2011;18 gennaio 2011;276
GR;2011;1;2;02/01/2011;18 gennaio 2011;277,66
VR;2011;1;2;02/01/2011;18 gennaio 2011;280,5
BO;2011;1;2;02/01/2011;18 gennaio 2011;282
TO;2011;1;2;02/01/2011;18 gennaio 2011;283
TV;2011;1;2;02/01/2011;18 gennaio 2011;285
PD;2011;1;2;02/01/2011;18 gennaio 2011;288,5
MI;2011;1;2;02/01/2011;18 gennaio 2011;289,5
NA;2011;1;2;02/01/2011;18 gennaio 2011;
FI;2011;1;3;03/01/2011;25 gennaio 2011;242,5
PG;2011;1;3;03/01/2011;25 gennaio 2011;262,1
AL;2011;1;3;03/01/2011;25 gennaio 2011;273
RM;2011;1;3;03/01/2011;25 gennaio 2011;275
UD;2011;1;3;03/01/2011;25 gennaio 2011;278
VR;2011;1;3;03/01/2011;25 gennaio 2011;285,5
BO;2011;1;3;03/01/2011;25 gennaio 2011;287
TO;2011;1;3;03/01/2011;25 gennaio 2011;287,5
GR;2011;1;3;03/01/2011;25 gennaio 2011;287,66
TV;2011;1;3;03/01/2011;25 gennaio 2011;290
MI;2011;1;3;03/01/2011;25 gennaio 2011;292,5
PD;2011;1;3;03/01/2011;25 gennaio 2011;293,5
NA;2011;1;3;03/01/2011;25 gennaio 2011;
FI;2011;1;4;04/01/2011;02 febbraio 2011;247,5
PG;2011;1;4;04/01/2011;02 febbraio 2011;266,6
AL;2011;1;4;04/01/2011;02 febbraio 2011;273
RM;2011;1;4;04/01/2011;02 febbraio 2011;278
UD;2011;1;4;04/01/2011;02 febbraio 2011;280
VR;2011;1;4;04/01/2011;02 febbraio 2011;288,5
TO;2011;1;4;04/01/2011;02 febbraio 2011;290
GR;2011;1;4;04/01/2011;02 febbraio 2011;292,66
TV;2011;1;4;04/01/2011;02 febbraio 2011;293
BO;2011;1;4;04/01/2011;02 febbraio 2011;293
PD;2011;1;4;04/01/2011;02 febbraio 2011;295,5
MI;2011;1;4;04/01/2011;02 febbraio 2011;296,5
NA;2011;1;4;04/01/2011;02 febbraio 2011;
FI;2011;2;1;01/02/2011;07 febbraio 2011;247,5
PG;2011;2;1;01/02/2011;07 febbraio 2011;269,6
AL;2011;2;1;01/02/2011;07 febbraio 2011;278
UD;2011;2;1;01/02/2011;07 febbraio 2011;280
RM;2011;2;1;01/02/2011;07 febbraio 2011;280
VR;2011;2;1;01/02/2011;07 febbraio 2011;291,5
TO;2011;2;1;01/02/2011;07 febbraio 2011;293
BO;2011;2;1;01/02/2011;07 febbraio 2011;293
TV;2011;2;1;01/02/2011;07 febbraio 2011;295,5
PD;2011;2;1;01/02/2011;07 febbraio 2011;297,5
MI;2011;2;1;01/02/2011;07 febbraio 2011;299,5
GR;2011;2;1;01/02/2011;07 febbraio 2011;302,66
NA;2011;2;1;01/02/2011;07 febbraio 2011;
FI;2011;2;2;02/02/2011;14 febbraio 2011;247,5
PG;2011;2;2;02/02/2011;14 febbraio 2011;269,6
UD;2011;2;2;02/02/2011;14 febbraio 2011;280
RM;2011;2;2;02/02/2011;14 febbraio 2011;280
AL;2011;2;2;02/02/2011;14 febbraio 2011;280
TO;2011;2;2;02/02/2011;14 febbraio 2011;293
BO;2011;2;2;02/02/2011;14 febbraio 2011;293
VR;2011;2;2;02/02/2011;14 febbraio 2011;293,5
TV;2011;2;2;02/02/2011;14 febbraio 2011;297,5
PD;2011;2;2;02/02/2011;14 febbraio 2011;297,5
MI;2011;2;2;02/02/2011;14 febbraio 2011;299,5
GR;2011;2;2;02/02/2011;14 febbraio 2011;302,66
NA;2011;2;2;02/02/2011;14 febbraio 2011;
FI;2011;2;3;03/02/2011;22 febbraio 2011;247,5
PG;2011;2;3;03/02/2011;22 febbraio 2011;269,6
UD;2011;2;3;03/02/2011;22 febbraio 2011;280
RM;2011;2;3;03/02/2011;22 febbraio 2011;280
AL;2011;2;3;03/02/2011;22 febbraio 2011;280
TO;2011;2;3;03/02/2011;22 febbraio 2011;291
BO;2011;2;3;03/02/2011;22 febbraio 2011;293
VR;2011;2;3;03/02/2011;22 febbraio 2011;296,5
TV;2011;2;3;03/02/2011;22 febbraio 2011;297,5
PD;2011;2;3;03/02/2011;22 febbraio 2011;297,5
MI;2011;2;3;03/02/2011;22 febbraio 2011;302,5
GR;2011;2;3;03/02/2011;22 febbraio 2011;302,66
NA;2011;2;3;03/02/2011;22 febbraio 2011;
FI;2011;2;4;04/02/2011;28 febbraio 2011;242,5
PG;2011;2;4;04/02/2011;28 febbraio 2011;269,6
UD;2011;2;4;04/02/2011;28 febbraio 2011;277
RM;2011;2;4;04/02/2011;28 febbraio 2011;280
AL;2011;2;4;04/02/2011;28 febbraio 2011;280
TO;2011;2;4;04/02/2011;28 febbraio 2011;283
BO;2011;2;4;04/02/2011;28 febbraio 2011;288
PD;2011;2;4;04/02/2011;28 febbraio 2011;291,5
TV;2011;2;4;04/02/2011;28 febbraio 2011;292,5
GR;2011;2;4;04/02/2011;28 febbraio 2011;292,66
VR;2011;2;4;04/02/2011;28 febbraio 2011;296,5
MI;2011;2;4;04/02/2011;28 febbraio 2011;300,5
NA;2011;2;4;04/02/2011;28 febbraio 2011;
FI;2011;3;1;01/03/2011;08 marzo 2011;237,5
PG;2011;3;1;01/03/2011;08 marzo 2011;264,6
UD;2011;3;1;01/03/2011;08 marzo 2011;271
RM;2011;3;1;01/03/2011;08 marzo 2011;275
AL;2011;3;1;01/03/2011;08 marzo 2011;276
TO;2011;3;1;01/03/2011;08 marzo 2011;281
BO;2011;3;1;01/03/2011;08 marzo 2011;283
PD;2011;3;1;01/03/2011;08 marzo 2011;284,5
TV;2011;3;1;01/03/2011;08 marzo 2011;290
VR;2011;3;1;01/03/2011;08 marzo 2011;290,5
GR;2011;3;1;01/03/2011;08 marzo 2011;292,66
MI;2011;3;1;01/03/2011;08 marzo 2011;295,5
NA;2011;3;1;01/03/2011;08 marzo 2011;
FI;2011;3;2;02/03/2011;15 marzo 2011;227,5
PG;2011;3;2;02/03/2011;15 marzo 2011;259,6
UD;2011;3;2;02/03/2011;15 marzo 2011;261
TO;2011;3;2;02/03/2011;15 marzo 2011;263
RM;2011;3;2;02/03/2011;15 marzo 2011;270
PD;2011;3;2;02/03/2011;15 marzo 2011;270,5
BO;2011;3;2;02/03/2011;15 marzo 2011;273
AL;2011;3;2;02/03/2011;15 marzo 2011;273
VR;2011;3;2;02/03/2011;15 marzo 2011;280,5
TV;2011;3;2;02/03/2011;15 marzo 2011;282,5
GR;2011;3;2;02/03/2011;15 marzo 2011;282,66
MI;2011;3;2;02/03/2011;15 marzo 2011;288,5
NA;2011;3;2;02/03/2011;15 marzo 2011;
FI;2011;3;3;03/03/2011;21 marzo 2011;217,5
PG;2011;3;3;03/03/2011;21 marzo 2011;244,6
TO;2011;3;3;03/03/2011;21 marzo 2011;248
UD;2011;3;3;03/03/2011;21 marzo 2011;251
